latitude,longitude,altitude,geometry,cityname,systemlength,systemname,brt-standard-level,marker-color,passengers,marker-size,marker-symbol
19.062117,-98.21228,,Point,Puebla,32,Silver,bronze,#cd7f32,251704,,
28.545925,-81.375732,,Point,Orlando,5,LYNX Lymmo,n/a,#7e7e7e,4475,,
20.110102,-98.75061,,Point,Pachuca,17,Tuzobus,n/a,#7e7e7e,114000,,
49.884902,-97.167205,,Point,Winnipeg,3.6,RT,n/a,#7e7e7e,166000,medium,
40.549808,-105.071868,,Point,Fort Collins,8,MAX BRT,n/a,#7e7e7e,3000,,
45.437731,-75.723953,,Point,Gatineau,12,Rapibus,n/a,#7e7e7e,,medium,
25.698462,-100.511169,,Point,Guadalupe,8,TransMetro,n/a,#7e7e7e,15000,,
43.880077,-79.439048,,Point,York Region,37.5,VIVA,bronze,#cd7f32,9357,medium,
25.798654,-80.200195,,Point,Miami,34,South Miami-Dade Busway,n/a,#7e7e7e,2475,,
46.827314,-71.235694,,Point,Quebec City,59.55,Metrobus,Not BRT,#8B0000,85310,medium,
16.866976,-99.881515,,Point,Acapulco,16,Acabus,Not BRT,#8B0000,100000,,
51.048948,-114.072074,,Point,Calgary,56.03,MAX,n/a,#7e7e7e,7640,medium,
36.168922,-115.154571,,Point,Las Vegas,63,MAX,basic,#2f4f4f,34189,,
28.648415,-106.072998,,Point,Chihuahua,22,Vivebus,basic,#2f4f4f,127000,,
41.764653,-72.690696,,Point,Hartford County,15,CTFastrak,silver,#C0C0C0,9674,,
34.046401,-118.256835,,Point,Los Angeles,39,Metro Silver Line,n/a,#7e7e7e,26179,,
19.471771,-99.202423,,Point,Mexico City Metro Area,56,Mexibus,silver,#C0C0C0,380000,,
34.059485,-118.22937,,Point,Los Angeles,29,Metro Orange Line,bronze,#cd7f32,26179,,
25.673711,-100.310668,,Point,Monterrey,30,Ecovia,silver,#C0C0C0,100000,,
38.861164,-77.060079,,Point,Arlington,11,Metroway,Not BRT,#8B0000,1412,,
44.050089,-123.095283,,Point,Eugene,19,EmX,bronze,#cd7f32,10000,,
40.735811,-73.989486,,Point,New York,102,Select Bus Service,n/a,#7e7e7e,305911,,
20.674547,-103.349761,,Point,Guadalajara,16,Macrobus,silver,#C0C0C0,127000,,
41.505492,-81.690216,,Point,Cleveland,11,HealthLine,silver,#C0C0C0	,15000,,
35.092945,-106.64566,,Point,Albuquerque,27,ART,gold,#ffd700,8100,medium,
34.106119,-117.301025,,Point,San Bernardino,26,sbX,bronze,#cd7f32,2475,,
45.413394,-75.714683,,Point,Ottawa,58.89,Transitway,bronze,#cd7f32,222000,medium,
21.126778,-101.67984,,Point,Leon de los Aldama,32,Sistema Integrado de Transporte Optibus,basic,#2f4f4f,220500,,
37.541719,-77.438163,,Point,Richmond,26,Pulse,bronze,#cd7f32,0,,
43.590213,-79.645729,,Point,Missisauga,18,Transitway,n/a,#7e7e7e,15100,medium,
31.732255,-106.489105,,Point,Juarez,25,EcoViveBus,basic,#2f4f4f,54000,,
32.501707,-116.965398,,Point,Tijuana,23,SITT,Not BRT,,6933,,
40.441198,-79.991455,,Point,Pittsburgh,30,Pittsburgh BRT,bronze,#cd7f32,41861,,
19.435514,-99.113159,,Point,Mexico City,140,Metrobus,silver,#C0C0C0,1240000,,
